Department,District,Block
"Revenue Department, Tharigoppula,Jangaon",Jangaon,NA
"Revenue Department, Addagudur",Addagudur,NA
"Revenue department, Addagutta, Marredpally",Marredpally,NA
"Revenue Department, Alladurg",Alladurg,NA
"Revenue Department, Alwal",Alwal,NA
"Revenue Department, Amangal Mandal",Amangal Mandal,NA
"Revenue Department, Amberpet,Hyderabad",Hyderabad,NA
"REVENUE DEPARTMENT, Ameenpur, Sangareddy",Sangareddy,NA
"Revenue Department, Ameerpet, Hyderabad",Hyderabad,NA
"REVENUE DEPARTMENT, ANDOLE, Sangareddy",Sangareddy,NA
"Revenue Department, Asifnagar, Hyderabad",Hyderabad,NA
"Revenue Department, Aswapuram",Aswapuram,NA
"Revenue Department, Aswaraopeta",Aswaraopeta,NA
"Revenue Department, Bachannapeta,Jangaon",Jangaon,NA
"Revenue Department, Bachupally Mandal",Bachupally Mandal,NA
"Revenue Department, Baghlingampally, Hyderabad",Hyderabad,NA
"Revenue Department, Bahadurpura Mandal, Hyderabad",Hyderabad,NA
"Revenue Department, Banjara Hills, Hyderabad",Hyderabad,NA
"Revenue Department, Basar",Basar,NA
"Revenue Department, Bellampally",Bellampally,NA
"Revenue Department, Bhadrachalam",Bhadrachalam,NA
"Revenue Department, Bhainsa",Bhainsa,NA
"Revenue Department, Bheemaram",Bheemaram,NA
"Revenue Department, Bhongir",Bhongir,NA
"Revenue Department, Birkur",Birkur,NA
"Revenue Department, Bowenpally, Secunderabad",Secunderabad,NA
"Revenue Department, Buggaram",Buggaram,NA
"Revenue Department, Burgampahad",Burgampahad,NA
"Revenue Department, Chandrugonda",Chandrugonda,NA
"Revenue Department, Chennaraopet",Chennaraopet,NA
"Revenue Department, Chevella Mandal",Chevella Mandal,NA
"Revenue Department, Chilipched",Chilipched,NA
"Revenue Department, Chilpur,Jangaon",Jangaon,NA
"Revenue Department, Choutuppal Division",Choutuppal Division,NA
"REVENUE DEPARTMENT, Chowtakur, Sangareddy",Sangareddy,NA
"Revenue Department, Collectorate, Kamareddy",Kamareddy,NA
"Revenue Department, Dabeerpura",Dabeerpura,NA
"Revenue Department, Damargidda",Damargidda,NA
"Revenue Department, Dasturabad",Dasturabad,NA
"Revenue Department, Dhanwada",Dhanwada,NA
"Revenue Department, Dharmasagar",Dharmasagar,NA
"Revenue Department, Dharoor",Dharoor,NA
"Revenue Department, Dilawarpur",Dilawarpur,NA
"Revenue Department, Dongli",Dongli,NA
"Revenue Department, Gadwal",Gadwal,NA
"Revenue Department, Gajwel",Gajwel,NA
"Revenue Department, Ghanpur (Stn),Jangaon",Jangaon,NA
"REVENUE DEPARTMENT, Gummadidala, Sangareddy",Sangareddy,NA
"Revenue Department, Gundala",Gundala,NA
"REVENUE DEPARTMENT, Hathnoora, Sangareddy",Sangareddy,NA
"Revenue Department, Indervally",Indervally,NA
"Revenue Department, Jangaon",Jangaon,NA
"Revenue Department, Jannaram",Jannaram,NA
"Revenue Department, Jayashankar Bhupalapally",Jayashankar Bhupalapally,NA
"REVENUE DEPARTMENT, Jharasangam, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Jinnaram, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Jogipet, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, kalher, Sangareddy",Sangareddy,NA
"Revenue Department, Kamareddy",Kamareddy,NA
"REVENUE DEPARTMENT, Kandi, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Kangti, Sangareddy",Sangareddy,NA
"Revenue Department, Kapra",Kapra,NA
"Revenue Department, Karakagudem",Karakagudem,NA
"Revenue Department, kasipet",kasipet,NA
"Revenue Department, Keesara Division(Medchal-Malkajgiri)",Medchal,NA
"Revenue Department, Khaiaratabad",Khaiaratabad,NA
"Revenue Department, Kodakandla,Jangaon",Jangaon,NA
"REVENUE DEPARTMENT, KOHIR, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Kondapur, Sangareddy",Sangareddy,NA
"Revenue Department, KT Doddi",KT Doddi,NA
"Revenue Department, Kukatpally",Kukatpally,NA
"Revenue Department, Lakdikapul Hyderabad",Hyderabad,NA
"Revenue Department, Lakidikapool Hyderabad",Hyderabad,NA
"Revenue Department, Langer House, Hyderabad",Hyderabad,NA
"Revenue Department, leeja",leeja,NA
"Revenue Department, Luxettipet",Luxettipet,NA
"Revenue Department, Madnoor",Madnoor,NA
"Revenue Department, Maldakal",Maldakal,NA
"Revenue Department, Malkajgiri",Malkajgiri,NA
"Revenue Department, Mancherial",Mancherial,NA
"Revenue Department, Mandamarri",Mandamarri,NA
"REVENUE DEPARTMENT, Manoor, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Mogudampally, Sangareddy",Sangareddy,NA
"Revenue Department, Motakondur",Motakondur,NA
"Revenue Department, Mothkur",Mothkur,NA
"REVENUE DEPARTMENT, Munipally, Sangareddy",Sangareddy,NA
"Revenue Department, Musheerabad Tahsil, Lower Tank Bund hyderabad",Hyderabad,NA
"Revenue Department, Nadikuda Mandal",Nadikuda Mandal,NA
"REVENUE DEPARTMENT, Nagalgidda Town, Sangareddy",Sangareddy,NA
"Revenue Department, nagireddypet",nagireddypet,NA
"Revenue Department, Nampally Hyderabad",Hyderabad,NA
"Revenue Department, Nampally, Hyderabad",Hyderabad,NA
"REVENUE DEPARTMENT, Narayankhed, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, NARAYANKHED, Sangareddy",Sangareddy,NA
"Revenue Department, Narmetta,Jangaon",Jangaon,NA
"Revenue Department, Nasrullabad",Nasrullabad,NA
"REVENUE DEPARTMENT, Nizampet town, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Nyalkal Village, Sangareddy",Sangareddy,NA
"Revenue Department, O/o. Revenue Divisional Office, Yellareddy",Yellareddy,NA
"Revenue Department, OLD URBAN VEMULAWADA Rajanna Sircilla",Rajanna Sircilla,NA
"Revenue Department, Padara, Nagarkurnool",Nagarkurnool,NA
"Revenue Department, Palakurthy,Jangaon",Jangaon,NA
"Revenue Department, Palvancha",Palvancha,NA
"REVENUE DEPARTMENT, Patancheru town, Sangareddy",Sangareddy,NA
"Revenue Department, Pinapaka",Pinapaka,NA
"Revenue Department, pitlam",pitlam,NA
"REVENUE DEPARTMENT, Pulkal, Sangareddy",Sangareddy,NA
"Revenue Department, Raghunathpally, Jangaon",Jangaon,NA
"REVENUE DEPARTMENT, Raikode, Sangareddy",Sangareddy,NA
"Revenue Department, Rajampet",Rajampet,NA
"Revenue Department, Rajendranagar Division",Rajendranagar Division,NA
"REVENUE DEPARTMENT, Sadasivpet, Sangareddy",Sangareddy,NA
"Revenue Department, saidabad , Hyderabad",Hyderabad,NA
"REVENUE DEPARTMENT, Sangareddy",Sangareddy,NA
"REVENUE DEPARTMENT, Sangareddy town, Sangareddy",Sangareddy,NA
"Revenue Department, Secunderabad, Hyderabad",Hyderabad,NA
"Revenue Department, Siddipet",Siddipet,NA
"REVENUE DEPARTMENT, Sirgapur, Sangareddy",Sangareddy,NA
"Revenue Department, Tekulapalli",Tekulapalli,NA
"Revenue Department, Thangallapalli Rajanna Sircilla",Rajanna Sircilla,NA
"Revenue Department, Undavelly",Undavelly,NA
"Revenue Department, Uppal",Uppal,NA
"Revenue Department, Utnoor",Utnoor,NA
"Revenue Department, Valigonda",Valigonda,NA
"Revenue Department, Vikarabad",Vikarabad,NA
"REVENUE DEPARTMENT, WATPALLE, Sangareddy",Sangareddy,NA
"Revenue Department, Yadagirigutta",Yadagirigutta,NA
"Revenue Department, Yellandu",Yellandu,NA
"Revenue Department, Zaffergadh,Jangaon",Jangaon,NA
"REVENUE DEPARTMENT, ZAHEERABAD Sangareddy",Sangareddy,NA
"Revenue Department,.Pochampally",.Pochampally,NA
"Revenue Department,Alair",Alair,NA
"Revenue Department,Alampur",Alampur,NA
"Revenue Department,Allapalli",Allapalli,NA
"Revenue Department,Annapureddipally",Annapureddipally,NA
"Revenue Department,Asifabad",Asifabad,NA
"Revenue Department,Athamkur",Athamkur,NA
"Revenue Department,Athmakur Mandal",Athmakur Mandal,NA
"Revenue Department,Balanagar",Balanagar,NA
"Revenue Department,Banswada",Banswada,NA
"Revenue Department,Bhadrachalam",Bhadrachalam,NA
"Revenue Department,Bheemdevarapally",Bheemdevarapally,NA
"Revenue Department,Bibinagar",Bibinagar,NA
"Revenue Department,Bichkunda",Bichkunda,NA
"Revenue Department,Bijinepally",Bijinepally,NA
"Revenue Department,BommalaRamaram",BommalaRamaram,NA
"Revenue Department,Chennur",Chennur,NA
"Revenue Department,Chinthalamanepally,Asifabad",Asifabad,NA
"Revenue Department,Choutuppal",Choutuppal,NA
"Revenue Department,Chunchupalli",Chunchupalli,NA
"Revenue Department,Dahegaon",Dahegaon,NA
"Revenue Department,Dandepally",Dandepally,NA
"Revenue Department,Domakonda",Domakonda,NA
"Revenue Department,Dummugudem",Dummugudem,NA
"Revenue Department,Elkathurthy Mandal",Elkathurthy Mandal,NA
"Revenue Department,Gadkesari(medchal)",Medchal,NA
"Revenue Department,Gandhari",Gandhari,NA
"Revenue Department,Gandimaisamma Dunidgal",Gandimaisamma Dunidgal,NA
"Revenue Department,Gattu",Gattu,NA
"Revenue Department,Ghanpur (Stn) Jangaon",Jangaon,NA
"Revenue Department,Gundala",Gundala,NA
"Revenue Department,Hajipur",Hajipur,NA
"Revenue Department,Hasanparthy mandal",Hasanparthy mandal,NA
"Revenue Department,Hyderabad",Hyderabad,NA
"Revenue Department,Inavole",Inavole,NA
"Revenue Department,Itikyal",Itikyal,NA
"Revenue Department,Jainoor",Jainoor,NA
"Revenue Department,Jannaram",Jannaram,NA
"Revenue Department,Jawaharnagar, Bhupalpally",Jayashankar Bhupalapally,NA
"Revenue Department,Jayashankar Bhupalpally",Jayashankar Bhupalapally,NA
"Revenue Department,Jogulamba Gadwal",Jogulamba Gadwal,NA
"Revenue Department,Jukkal",Jukkal,NA
"Revenue Department,julurupadu",julurupadu,NA
"Revenue Department,Kagaznagar",Kagaznagar,NA
"Revenue Department,Kalwakurhty",Kalwakurhty,NA
"Revenue Department,Kamalapur mandal",Kamalapur mandal,NA
"Revenue Department,Kazipet",Kazipet,NA
"Revenue Department,Kerameri",Kerameri,NA
"Revenue Department,Kollapur",Kollapur,NA
"Revenue Department,Kosgi",Kosgi,NA
"Revenue Department,Kotapally",Kotapally,NA
"Revenue Department,Kothur",Kothur,NA
"Revenue Department,Koutla",Koutla,NA
"Revenue Department,Kowdipally",Kowdipally,NA
"Revenue Department,Krishna",Krishna,NA
"Revenue Department,Kulcharam",Kulcharam,NA
"Revenue Department,Lingapur",Lingapur,NA
"Revenue Department,Machareddy",Machareddy,NA
"Revenue Department,makthal Mandal",makthal Mandal,NA
"Revenue Department,Malkajgiri",Malkajgiri,NA
"Revenue Department,Manopad",Manopad,NA
"Revenue Department,Manuguru",Manuguru,NA
"Revenue Department,Medak",Medak,NA
"Revenue Department,Medchal",Medchal,NA
"Revenue Department,Medipally",Medipally,NA
"Revenue Department,Muduchinthalapally",Muduchinthalapally,NA
"Revenue Department,Narayanapur",Narayanapur,NA
"Revenue Department,Naspur",Naspur,NA
"Revenue Department,Nizamabad",Nizamabad,NA
"Revenue Department,Palkonda, Mahabubnagar",Mahabubnagar,NA
"Revenue Department,paloncha",paloncha,NA
"Revenue Department,Penchikalpet",Penchikalpet,NA
"Revenue Department,Quthbullapur",Quthbullapur,NA
"Revenue Department,Rajapet",Rajapet,NA
"Revenue Department,Ramareddy",Ramareddy,NA
"Revenue Department,RDO Office Kothagudem",Bhadradri Kothagudem,NA
"Revenue Department,Rebbena",Rebbena,NA
"Revenue Department,Sadashivanagar",Sadashivanagar,NA
"Revenue Department,SDC Trible wlefare Bhadrachalam",SDC Trible wlefare Bhadrachalam,NA
"Revenue Department,Shamirpet",Shamirpet,NA
"Revenue Department,Shayampet",Shayampet,NA
"Revenue Department,Sirpur-T",Sirpur-T,NA
"Revenue Department,Sirpur-U",Sirpur-U,NA
"Revenue Department,Tadoor",Tadoor,NA
"Revenue Department,Tadwai",Tadwai,NA
"Revenue Department,Telkapally",Telkapally,NA
"Revenue Department,Thimmajipet",Thimmajipet,NA
"Revenue Department,Thorrur",Thorrur,NA
"Revenue Department,Thurkapally",Thurkapally,NA
"Revenue Department,Tiryani",Tiryani,NA
"Revenue Department,Toopran",Toopran,NA
"Revenue Department,Urkonda",Urkonda,NA
"Revenue Department,Utkoor Mandal",Utkoor Mandal,NA
"Revenue Department,Vangoor",Vangoor,NA
"Revenue Department,Velair Mandal",Velair Mandal,NA
"Revenue Department,Veldanda",Veldanda,NA
"Revenue Department,Waddepally",Waddepally,NA
"Revenue Department,Wankidi",Wankidi,NA
"Revenue Department,Yeldurthy",Yeldurthy,NA
"Revenue Department,Yerravally",Yerravally,NA
"Revenue Departmentr,Rayaparthy",Rayaparthy,NA
"Revenue Dept, Mavala",Mavala,NA
Revenue Divisional Offficer Karimnagar,Karimnagar,NA
Revenue Divisional Office Hanumakonda,Hanamkonda,NA
Revenue Divisional Office Kalwakurthy,,NA
Revenue Divisional Office Nagarkurnool,Nagarkurnool,NA
"Revenue Divisional Office, Karimnagar",Karimnagar,NA
"Revenue Divisional Office,Korutla",Korutla,NA
Revenue Divisional Officer Huzurabad,,NA
"Revenue( Endowemnts) Department, Kamareddy",Kamareddy,NA
"Revenue( Excise and Prohibition )Department,Medak",Medak,NA
"Revenue( Prohibition &Excise )Department,Naryanpet",Naryanpet,NA
Revenue(Collectorate) Mulugu,Mulugu,NA
"Revenue(Endowment)Department,Jangaon",Jangaon,NA
"Revenue(Endowments) Department, Karimnagar",Karimnagar,NA
"Revenue(Pro. & Excise) Department,Rangareddy",Ranga Reddy,NA
"Revenue(Prohibition & Excise)Department,Khammam",Khammam,NA
"Revenue(Prohibition & Excise)Department,Mancherial",Mancherial,NA
"Revenue(Registration and Stamps) Department,Azampura",Azampura,NA
"Revenue(Registration and Stamps) Department,Charminar",Charminar,NA
"Revenue(Registration and Stamps) Department,DoodhBowli",DoodhBowli,NA
"Revenue(Registration and Stamps) Department,Golconda",Golconda,NA
"Revenue(Registration and Stamps) Department,S.R.Nagar",S.R.Nagar,NA
"Roads & Building Dept, Errummanzil, Hyderabad",Hyderabad,NA
Roads & Buildings Department Balkampet,,NA
"Roads & Buildings Department,Jogulamba Gadwal",Jogulamba Gadwal,NA
Roads and Buildings Jagtial District,Jagtial,NA
Rural Development Agency(DRDA))Warangal,Warangal,NA
RURAL DEVELOPMENT JAYASHANKAR BHUPALAPALLY,Jayashankar Bhupalapally,NA
"SC Corporation Department,Medak",Medak,NA
SC Corporation Department.Mulugu,Mulugu,NA
"SC Development ,Mancherial",Mancherial,NA
SC Development Department(Govt. SC Boys Hostel) Basheerabad,Basheerabad,NA
SC Development Department(Govt. SC Boys Hostel) Doma,Doma,NA
SC Development Department(Govt. SC Boys Hostel) Karankote,Karankote,NA
SC Development Department(Govt. SC Boys Hostel) Kodangal,Kodangal,NA
SC Development Department(Govt. SC Boys Hostel) Marikal,Marikal,NA
SC Development Department(Govt. SC Boys Hostel) Mominpet,Mominpet,NA
SC Development Department(Govt. SC Boys Hostel) Nawabpet,Nawabpet,NA
SC Development Department(Govt. SC Boys Hostel) Patloor,Patloor,NA
SC Development Department(Govt. SC Boys Hostel) Pudur,Pudur,NA
SC Development Department(Govt. SC Boys Hostel) Siripura,Siripura,NA
SC Development Department(Govt. SC Boys Hostel) Tandur,Tandur,NA
SC Development Department(Govt. SC Boys Hostel) Yalal,Yalal,NA
"SC Development Department(Govt. SC Boys Hostel), Pargi",Pargi,NA
"SC Development Department(Govt. SC Boys Hostel, No. I) Karankote",No. I) Karankote,NA
"SC Development Department(Govt. SC Boys Hostel, No. II) Vikarabad",Vikarabad,NA
SC Development Department(Govt. SC College Boys Hostel) Vikarabad,Vikarabad,NA
SC Development Department(Govt. SC College Boys Hostel)Tandur,Tandur,NA
SC Development Department(Govt. SC Collegle Girls Hostel) Vikarabad,Vikarabad,NA
SC Development Department(Govt. SC Girls Hostel) Tandur,Tandur,NA
SC Development Department(Govt. SC Girls Hostel) Basheerabad,Basheerabad,NA
SC Development Department(Govt. SC Girls Hostel) Kodangal,Kodangal,NA
SC Development Department(Govt. SC Girls Hostel) Marpally,Marpally,NA
"SC Development Department(Govt. SC Girls Hostel), Pargi",Pargi,NA
"SC Development Department, Jangaon",Jangaon,NA
"SC Development Department, Tandur",Tandur,NA
"SC Development Department, Vikarabad",Vikarabad,NA
"SC Development Department,Kamareddy",Kamareddy,NA
"SC Development(TGSCCDC Ltd) Department,Adilabad",Adilabad,NA
"SC Development(TGSWRS/JC(B))Department, DAMARGIDDA",DAMARGIDDA,NA
"SC Development(TGSWRS/JC(G))Department, MADDUR",MADDUR,NA
"SC Development(TGSWRS/JC(G))Department, MAKTHAL",MAKTHAL,NA
"SC Development(TGSWRS/JC(G))Department, MARIKAL",MARIKAL,NA
"SC Development(TGSWRS/JC(G))Department, NARAYANPET",Narayanpet,NA
"SC Development(TGSWRS/JC(G))Department, UTKOOR",UTKOOR,NA
"SC. Development Department,Bhupalpally",Jayashankar Bhupalapally,NA
SC.Development Department( Social Welfare Officer (FAC)) Bhupalpally,Jayashankar Bhupalapally,NA
SC.Development Department(GOVT SC BOYS HOSTEL)CHITYAL,CHITYAL,NA
SC.Development Department(GOVT SC BOYS HOSTEL)MOGULLAPALLY,MOGULLAPALLY,NA
SC.Development Department(GOVT SC GIRLS HOSTEL )JOOKAL,JOOKAL,NA
SC.Development Department(GOVT SC GIRLS HOSTEL) REGONDA,REGONDA,NA
SC.Development Department(GOVT SC GIRLS HOSTEL)CHITYAL,CHITYAL,NA
SC.Development Department(GOVT SC GIRLS HOSTEL)MOGULLAPALLY,MOGULLAPALLY,NA
SC.Development Department(GOVT SC. BOYS HOSTEL) MAHADEVPUR,MAHADEVPUR,NA
SC.Development Department(GOVT SC. BOYS HOSTEL) JANGAID,JANGAID,NA
SC.Development Department(Govt. SC. COLLEGE BOYS HOSTEL) BHUPALPALLY,Jayashankar Bhupalapally,NA
SC.Development Department(Govt. SC. COLLEGE GIRLS HOSTEL) BHUPALPALLY,Jayashankar Bhupalapally,NA
SC.Development Department(Govt.SC. GIRLS HOSTEL)MAHADEVPUR,MAHADEVPUR,NA
Scheduled Caste (Govt.SC College Girls Hostel)Kalwakurthy,Kalwakurthy,NA
Scheduled Caste (GovtSCBH)Department,Department,NA
"Scheduled Caste Department(Govt.SCBH, B)Kalwakurthy",B)Kalwakurthy,NA
"Scheduled Caste Department,Kalwakurthy",Kalwakurthy,NA
Scheduled Caste Department,NA,NA
Scheduled Caste Development (Govt.SC Ananda Nilayam ( Boys),NA,NA
Scheduled Caste Development (Govt.SC College Boys Hostel )Achampet,Achampet,NA
Scheduled Caste Development (Govt.SC College Boys Hostel )Kalwakurthy,Kalwakurthy,NA
Scheduled Caste Development (Govt.SC College Boys Hostel)Nagarkurnool,Nagarkurnool,NA
Scheduled Caste Development (Govt.SC College Girls Hostel) Achampet),Achampet),NA
Scheduled Caste Development (Govt.SC College GirlsHostel)Nagarkurnool,Nagarkurnool,NA
"Scheduled Caste Development (Govt.SCBH- A)Department,Nagarkurnool",Nagarkurnool,NA
"Scheduled Caste Development (Govt.SCBH)Department,Balmoor",Balmoor,NA
"Scheduled Caste Development (Govt.SCBh)Department,Raghupathipet",Raghupathipet,NA
"Scheduled Caste Development (Govt.SCBH. C)Department,Nagarkurnool",Nagarkurnool,NA
"Scheduled Caste Development (Govt.SCBH. D)Department ,Nagarkurnool",Nagarkurnool,NA
"Scheduled Caste Development (GovtSCBH,)Department,Vangoor",Vangoor,NA
Scheduled Caste Development Department(Govt.SCBH) Tadoor,Tadoor,NA
"Scheduled Caste Development Department,Achampet",Achampet,NA
"Scheduled Caste Development Department,Amrabad",Amrabad,NA
"Scheduled Caste Development Department,Charakonda",Charakonda,NA
"Scheduled Caste Development Department,Govt.SCGH, Nagarkurnool",Nagarkurnool,NA
"Scheduled Caste Development Department,Jagtial",Jagtial,NA
"Scheduled Caste Development Department,Kalwakurthy",Kalwakurthy,NA
"Scheduled Caste Development Department,Kollapur",Kollapur,NA
"Scheduled Caste Development Department,Lingal",Lingal,NA
"Scheduled Caste Development Department,Mulugu",Mulugu,NA
"Scheduled Caste Development Department,Nagarkurnool",Nagarkurnool,NA
"Scheduled Caste Development Department,Palem",Palem,NA
"Scheduled Caste Development Department,Peddakothapally",Peddakothapally,NA
"Scheduled Caste Development Department,Pentlavally",Pentlavally,NA
"Scheduled Caste Development Department,Polkampally",Polkampally,NA
"Scheduled Caste Development Department,Telkapally",Telkapally,NA
"Scheduled Caste Development Department,Vankeshwaram",Vankeshwaram,NA
Scheduled Caste Development(TGSWREIS) MAHABUBNAGAR,Mahabubnagar,NA
"Scheduled Castes (Coordn) Department, Jogulamba Gadwal",Jogulamba Gadwal,NA
"Scheduled Castes Development (Coordn) Department, Nampally",Nampally,NA
"Scheduled Castes Development (Coordn) Department, Sangareddy",Sangareddy,NA
"School Education(Director of public Libraries)Depatment,Hyderabad",Hyderabad,NA
"School Education Department ,Medak",Medak,NA
School Education Department Jagtial,Jagtial,NA
"School Education Department, BACHANNAPET",BACHANNAPET,NA
"School Education Department, CHILPUR",CHILPUR,NA
"School Education Department, DEVARUPPULA",DEVARUPPULA,NA
"School Education Department, GHNAPUR STN",GHNAPUR STN,NA
"School Education Department, Jagtial",Jagtial,NA
"School Education Department, JANGAON",Jangaon,NA
"School Education Department, KODAKANDLA",KODAKANDLA,NA
"School Education Department, LINGALA GHANPUR",LINGALA GHANPUR,NA
"School Education Department, NARMETTA",NARMETTA,NA
"School Education Department, PALAKURTHY",PALAKURTHY,NA
"School Education Department, RAGHUNATHPALLY",RAGHUNATHPALLY,NA
"School Education Department, THARIGOPPULA",THARIGOPPULA,NA
"School Education Department, ZAFFERGADH",ZAFFERGADH,NA
"School Education Department,Bhupalpally",Jayashankar Bhupalapally,NA
"School Education Department,Hyderabad",Hyderabad,NA
"School Education Department,Jangaon",Jangaon,NA
"School Education(Adult Education)Department,Mancherial",Mancherial,NA
School Education(Library Office) Jangaon,Jangaon,NA
"School Education, Kamareddy",Kamareddy,NA
"School EDUCATION, MANCHERIAL",Mancherial,NA
"School Education,Eturnagaram",Eturnagaram,NA
"School Education,Govindraopet",Govindraopet,NA
"School Education,Kannaigudem",Kannaigudem,NA
"School Education,Mangapet",Mangapet,NA
"School Education,Mulugu",Mulugu,NA
"School Education,Nagarkurnool",Nagarkurnool,NA
"School Education,Tadvai",Tadvai,NA
"School Education,Venkatapur",Venkatapur,NA
"School Education,Venkatapuram",Venkatapuram,NA
"School Education,Wazeedu",Wazeedu,NA
Social Welfare (SEC),,NA
"Social Welfare Department, Jangaon",Jangaon,NA
Society for Elimination of Rural Poverty,,NA
State Audit Department,,NA
State Disaster Response and Fire Service Warangal,Warangal,NA
State Election Commission,,NA
State Finance Corporation,,NA
State Meat and Poultry Development Corporation,,NA
State Mineral Development Corporation,,NA
State Seeds Development Corporation,,NA
"Superintendent District Head Quarters Hospital, Jadcherla",Jadcherla,NA
Survey and Land Department Gadwal,,NA
"Survey and Land Department, Khammam",Khammam,NA
"Survey and Land Department, Anthaipally, Shamirpet",Shamirpet,NA
"Survey and Land Department, Hanumakonda",Hanamkonda,NA
"Survey and Land Department, Hyderabad",Hyderabad,NA
"Survey and Land Department, Kamareddy",Kamareddy,NA
"Survey and Land Department, Karimnagar",Karimnagar,NA
"Survey and Land Department, Medak",Medak,NA
"Survey and Land Department, Mulugu",Mulugu,NA
"Survey and Land Department, Nagarkurnool",Nagarkurnool,NA
"Survey and Land Department, Nalgonda",Nalgonda,NA
"Survey and Land Department, Narayanaguda Hyderabad",Hyderabad,NA
"Survey and Land Department, Narayanpet",Narayanpet,NA
"Survey and Land Department, Naspur,Mancherial",Mancherial,NA
"Survey and Land Department, Nizamabad",Nizamabad,NA
"Survey and Land Department, Peddapally",Peddapally,NA
"Survey and Land Department, Ranga Reddy",Ranga Reddy,NA
"Survey and Land Department, Sangareddy",Sangareddy,NA
"Survey and Land Department, Siddipet",Siddipet,NA
"Survey and Land Department, Sircilla",Sircilla,NA
"Survey and Land Department, Suryapet",Suryapet,NA
"Survey and Land Department, Vikarabad",Vikarabad,NA
"Survey and Land Department, Wanaparthy",Wanaparthy,NA
"Survey and Land Department, Yadadri",Yadadri,NA
"Survey and Land Department, Yellapally, Nirmal",Nirmal,NA
"Survey and Land Department,Gachibowli",Gachibowli,NA
"Survey and Land Department,Jangaon",Jangaon,NA
"Survey and Land Department,Jankapur, Kumrambheem Asifabad",Kumrambheem Asifabad,Janakpur
"Survey and Land Department,Mahabubabad",Mahabubabad,NA
"Survey and Land Department,Palvancha, Bhadradri kothagudem",Bhadradri Kothagudem,palvancha
"Survey and Land Department,Urban(Lakidikapool) Hyd",Urban(Lakidikapool) Hyd,Lakidapool
"Survey and Land Department,Vidyanagar, Adilabad",Adilabad,Vidyanagar
"Survey and Land Records,(Narayanguda)Hyderabad",Hyderabad,Narayanguda
Tahsidar Jammikunta,Karimnagar,Jammikunta
Tahsidar Kothapally,Karimnagar,Kothapally
"Tahsil Office, Lingala Ghanpur",Jangaon,Lingalaghanpur
Tahsildar Adilabad Urban Mandal,Adilabad,Adilabad Urban
Tahsildar Bazarhathnoor Mandal,Adilabad,Bazarhathnoor
Tahsildar Chigurumamidi,Karimnagar,Chigurumamidi
Tahsildar Choppadandi,Karimnagar,Choppadandi
Tahsildar Ellandakunta,Karimnagar,Ellandakunta
Tahsildar Gangadhara,Karimnagar,Gangadhara
Tahsildar Ganneruvaram,Karimnagar,Ganneruvaram
Tahsildar Huzurabad,Karimnagar,Huzurabad
Tahsildar Karimnagar Rural,Karimnagar,Karimnagar Rural
Tahsildar Karimnagar Urban,Karimnagar,Karimnagar Urban
Tahsildar Kollapur Office,Nagarkurnool,Kollapur
Tahsildar Mahabubnagar Office,Mahabubnagar,Mahabubnagar
Tahsildar Manakondur,Karimnagar,Manakondur
Tahsildar Nagarkurnool Office,Nagarkurnool,Nagarkurnool
Tahsildar Nereigonda Mandal,Nirmal,Neradigonda
Tahsildar Office Gadiguda,Adilabad,Gadiguda
Tahsildar Office Talamadugu,Adilabad,Talamadugu
"Tahsildar Office ,Komuravelly",Siddipet,Komuravelli
Tahsildar Office Adilabad,Adilabad,Adilabad
Tahsildar Office Bela,Adilabad,Bela
Tahsildar Office Bheempur,Adilabad,Bheempur
Tahsildar Office Bhoraj,Adilabad,Bhoraj
Tahsildar Office Boath,Adilabad,Boath
Tahsildar Office Gudihathnoor,Adilabad,Gudihathnoor
Tahsildar Office Ichoda,Adilabad,Ichoda
Tahsildar Office Jainath,Adilabad,Jainath
Tahsildar Office Narnoor,Adilabad,Narnoor
Tahsildar office Narsapur,Medak,Narsapur
Tahsildar Office Nizampet,Medak,Nizampet
Tahsildar Office Parkal,Hanumakonda,Parkal
Tahsildar Office Rural,Karimnagar,Rural
Tahsildar Office Sirikonda,Nizamabad,Sirikonda
Tahsildar Office Sonala,Adilabad,Sonala
Tahsildar Office Utnoor,Adilabad,Utnoor
"Tahsildar Office, Akbarpet-Bhoompally",Siddipet,Akbarpet-Bhoompally
"Tahsildar Office, Akkannapet",Siddipet,Akkannapet
"Tahsildar Office, Basheerabad",Vikarabad,Basheerabad
"Tahsildar Office, Bayyaram",Mahabubabad,Bayyaram
"Tahsildar Office, Bejjanki",Siddipet,Bejjanki
"Tahsildar Office, Bomraspet",Vikarabad,Bomraspet
"Tahsildar Office, Cherial",Siddipet,Cherial
"Tahsildar Office, Chinnakodur",Siddipet,Chinnakodur
"Tahsildar Office, Dhoolmitta",Siddipet,Dhoolmitta
